Rank,Trial,learning_rate,max_depth,subsample,colsample_bytree,Accuracy,ROC-AUC
1,26,0.1,4,0.7,0.8,0.7363,0.8042
2,8,0.01,6,0.8,0.8,0.742,0.8041
3,4,0.01,4,0.8,0.8,0.745,0.804
4,2,0.01,4,0.7,0.8,0.7455,0.8039
5,6,0.01,6,0.7,0.8,0.7422,0.8037
6,3,0.01,4,0.8,0.7,0.7438,0.8036
7,16,0.05,4,0.8,0.8,0.7419,0.8036
8,13,0.05,4,0.7,0.7,0.7411,0.8036
9,10,0.01,8,0.7,0.8,0.7377,0.8036
10,14,0.05,4,0.7,0.8,0.7429,0.8035
