Rank,Trial,learning_rate,n_estimators,max_depth,Accuracy,ROC-AUC,ElapsedSeconds
1,2,0.03,80,3,0.7523,0.8062,2.42
2,6,0.03,160,3,0.7494,0.8051,4.61
3,10,0.05,120,3,0.7489,0.8051,3.61
4,16,0.1,120,3,0.7429,0.805,3.51
5,1,0.03,80,2,0.7563,0.8049,1.66
6,12,0.05,160,3,0.7472,0.8046,13.16
7,13,0.1,80,2,0.7573,0.8045,3.84
8,14,0.1,80,3,0.7472,0.8045,2.37
9,11,0.05,160,2,0.7559,0.8044,4.2
10,18,0.1,160,3,0.7391,0.8044,4.68
